0.00000000000000e+00    	0.00000000000000e+00 	 5.87785252290000e-01  	-8.09016994370000e-01    -1.00000000000000e+00	 0.00000000000000e+00	0.00000000000000e+00		1.41421356237310e+00
1.17000000000000e+00    	-8.27324455559623e-01 	 5.87802298607845e-01   -8.09016957166967e-01 	-1.00036444466611e+00	 1.51538341791705e-03	4.28580762587712e-07		1.41447209889033e+00
1.20000000000000e+00    	-8.48541231914570e-01 	 5.87835620037310e-01   -8.09016946616333e-01 	-1.00030434455699e+00	 1.60077734486406e-03	5.65441681627232e-07		1.41442968868304e+00
1.23000000000000e+00    	-8.69757133038660e-01 	 5.87869002587006e-01   -8.09016933330161e-01 	-1.00019977955256e+00	 1.51680542619089e-03	6.81335929494517e-07		1.41435564824275e+00
1.26000000000000e+00    	-8.90971713636278e-01 	 5.87898647002820e-01   -8.09016918046240e-01 	-1.00005611064724e+00	 1.24692086862200e-03	7.50703139304205e-07		1.41425378884241e+00
1.29000000000000e+00    	-9.12184613352321e-01 	 5.87920607250650e-01   -8.09016901857142e-01 	-9.99884182723887e-01	 7.94517397680817e-04	7.67962703389359e-07		1.41413189275962e+00
1.32000000000000e+00    	-9.33395611488027e-01 	 5.87931243183170e-01   -8.09016885666102e-01 	-9.99699795830146e-01	 1.85388579432527e-04	7.57419803190256e-07		1.41400131405608e+00
1.35000000000000e+00    	-9.54604673306335e-01 	 5.87927700703169e-01   -8.09016869546438e-01 	-9.99522503386488e-01	 -5.32268776379618e-04	7.71549973211227e-07		1.41387606178428e+00
1.38000000000000e+00    	-9.75811981475417e-01 	 5.87908363464642e-01   -8.09016852289388e-01 	-9.99373791037272e-01	 -1.29062930026177e-03	8.74955441124256e-07		1.41377142421856e+00
1.41000000000000e+00    	-9.97017946705162e-01 	 5.87873216255899e-01   -8.09016831418059e-01 	-9.99274768515721e-01	 -2.00779992870778e-03	1.11766379404047e-06		1.41370226506643e+00
1.44000000000000e+00    	-1.01822319283215e+00 	 5.87824063484987e-01   -8.09016803796867e-01 	-9.99243584238536e-01	 -2.59582233967966e-03	1.50782346658924e-06		1.41368118008898e+00
1.47000000000000e+00    	-1.03942851372102e+00 	 5.87764557167205e-01   -8.09016766710332e-01 	-9.99292840295728e-01	 -2.97042268672022e-03	1.99700959002570e-06		1.41371673403169e+00
1.50000000000000e+00    	-1.06063480249728e+00 	 5.87700007036154e-01   -8.09016719019832e-01 	-9.99427332619895e-01	 -3.06151379674350e-03	2.48880447080891e-06		1.41381199813152e+00
1.53000000000000e+00    	-1.08184295766590e+00 	 5.87636969322016e-01   -8.09016661861582e-01 	-9.99642453609815e-01	 -2.82324793400563e-03	2.87279618369735e-06		1.41396358008126e+00
1.56000000000000e+00    	-1.10305377506942e+00 	 5.87582637829863e-01   -8.09016598427499e-01 	-9.99923559543054e-01	 -2.24234100427380e-03	3.07431882945556e-06		1.41416128961016e+00
1.59000000000000e+00    	-1.12426783850196e+00 	 5.87544087959098e-01   -8.09016532692473e-01 	-1.00024651599250e+00	 -1.34346419841010e-03	3.10014149994785e-06		1.41438852429621e+00
1.62000000000000e+00    	-1.14548542405766e+00 	 5.87527447701008e-01   -8.09016467420814e-01 	-1.00057949538707e+00	 -1.90731217428715e-04	3.05729494581220e-06		1.41462339969929e+00
1.65000000000000e+00    	-1.16670643307295e+00 	 5.87537086124356e-01   -8.09016402209838e-01 	-1.00088592940787e+00	 1.11531653651370e-03	3.12949944925419e-06		1.41484058735514e+00
1.68000000000000e+00    	-1.18793036548565e+00 	 5.87574916802574e-01   -8.09016332494023e-01 	-1.00112834401901e+00	 2.44534181648972e-03	3.51213197941280e-06		1.41501375997097e+00
1.71000000000000e+00    	-1.20915634001078e+00 	 5.87639909522171e-01   -8.09016250199494e-01 	-1.00127266024030e+00	 3.65303394987522e-03	4.32653946413761e-06		1.41511847024213e+00
1.74000000000000e+00    	-1.23038316087692e+00 	 5.87727888194632e-01   -8.09016146125788e-01 	-1.00129245817984e+00	 4.59015503036674e-03	5.54903444022923e-06		1.41513520780236e+00
1.77000000000000e+00    	-1.25160942451023e+00 	 5.87831667220310e-01   -8.09016013344482e-01 	-1.00117269063157e+00	 5.12336811471186e-03	6.99100974724745e-06		1.41505229776718e+00
1.80000000000000e+00    	-1.27283365488764e+00 	 5.87941544801860e-01   -8.09015850273151e-01 	-1.00091239268938e+00	 5.15105692622905e-03	8.35082377016638e-06		1.41486824520744e+00
1.83000000000000e+00    	-1.29405445403385e+00 	 5.88046132924347e-01   -8.09015661936727e-01 	-1.00052604588193e+00	 4.61817488380924e-03	9.32921038937441e-06		1.41459312034041e+00
1.86000000000000e+00    	-1.31527065410717e+00 	 5.88133463550354e-01   -8.09015458439382e-01 	-1.00004339154453e+00	 3.52720163687488e-03	9.76868535257249e-06		1.41424864370403e+00
1.89000000000000e+00    	-1.33648145868228e+00 	 5.88192273041857e-01   -8.09015250743009e-01 	-9.99507623912674e-01	 1.94355278021290e-03	9.75785977878122e-06		1.41386677864365e+00
1.92000000000000e+00    	-1.35768656184755e+00 	 5.88213336160582e-01   -8.09015045106780e-01 	-9.98972017211294e-01	 -5.72468753861656e-06	9.64533842714692e-06		1.41348685572134e+00
1.95000000000000e+00    	-1.37888623364906e+00 	 5.88190701483380e-01   -8.09014838442430e-01 	-9.98495157957120e-01	 -2.14046506248153e-03	9.93812776120932e-06		1.41315150007112e+00
1.98000000000000e+00    	-1.40008135932655e+00 	 5.88122675596966e-01   -8.09014616887779e-01 	-9.98135080151578e-01	 -4.24279743516685e-03	1.11076203087259e-05		1.41290185068980e+00
2.01000000000000e+00    	-1.42127341905491e+00 	 5.88012416854882e-01   -8.09014358894736e-01 	-9.97942751243086e-01	 -6.07830721933879e-03	1.33734621721828e-05		1.41277269252917e+00
2.04000000000000e+00    	-1.44246439672557e+00 	 5.87868031710777e-01   -8.09014042317979e-01 	-9.97955526841220e-01	 -7.42100500706991e-03	1.65596815737708e-05		1.41278813172481e+00
2.07000000000000e+00    	-1.46365661270546e+00 	 5.87702115909743e-01   -8.09013653058297e-01 	-9.98191349956414e-01	 -8.07953859203825e-03	2.01025035776178e-05		1.41295833288734e+00
2.10000000000000e+00    	-1.48485248711336e+00 	 5.87530744363275e-01   -8.09013191637189e-01 	-9.98644558205907e-01	 -7.92172016102440e-03	2.32347457446505e-05		1.41327764711129e+00
2.13000000000000e+00    	-1.50605425528007e+00 	 5.87371980061975e-01   -8.09012674348412e-01 	-9.99284114907988e-01	 -6.89440268885664e-03	2.52955818647334e-05		1.41372425732027e+00
2.16000000000000e+00    	-1.52726367177980e+00 	 5.87244035214006e-01   -8.09012127487526e-01 	-1.00005485364408e+00	 -5.03605324375427e-03	2.60481951210717e-05		1.41426131701601e+00
2.19000000000000e+00    	-1.54848174870350e+00 	 5.87163268363497e-01   -8.09011576024934e-01 	-1.00088192553510e+00	 -2.48001797810653e-03	2.58637245182746e-05		1.41483948913682e+00
2.22000000000000e+00    	-1.56970857348116e+00 	 5.87142232496152e-01   -8.09011030819401e-01 	-1.00167812927552e+00	 5.52604664274266e-04	2.56660999906553e-05		1.41540078447751e+00
2.25000000000000e+00    	-1.59094324008265e+00 	 5.87187996603960e-01   -8.09010479804276e-01 	-1.00235329939068e+00	 3.77046138814989e-03	2.66222038370079e-05		1.41588359475177e+00
2.28000000000000e+00    	-1.61218390711630e+00 	 5.87300945503505e-01   -8.09009887696590e-01 	-1.00282455599169e+00	 6.83861950623559e-03	2.96731529978429e-05		1.41622874483509e+00
2.31000000000000e+00    	-1.63342797277022e+00 	 5.87474221694174e-01   -8.09009205735300e-01 	-1.00302607715609e+00	 9.41211835843054e-03	3.50887017286231e-05		1.41638621168746e+00
2.34000000000000e+00    	-1.65467233667773e+00 	 5.87693913197510e-01   -8.09008388773269e-01 	-1.00291717362866e+00	 1.11731746539925e-02	4.22455608110423e-05		1.41632189094706e+00
2.37000000000000e+00    	-1.67591370841326e+00 	 5.87940018844856e-01   -8.09007413396119e-01 	-1.00248777508471e+00	 1.18681983738424e-02	4.97633122786002e-05		1.41602351527201e+00
2.40000000000000e+00    	-1.69714892372010e+00 	 5.88188144082806e-01   -8.09006289292435e-01 	-1.00176086476733e+00	 1.13405303657401e-02	5.59951185475946e-05		1.41550465945677e+00
2.43000000000000e+00    	-1.71837524049500e+00 	 5.88411802282947e-01   -8.09005057817917e-01 	-1.00079179133118e+00	 9.55498264390383e-03	5.97138091737664e-05		1.41480582090085e+00
2.46000000000000e+00    	-1.73959060094405e+00 	 5.88585124355721e-01   -8.09003776330902e-01 	-9.99664641590260e-01	 6.61085304034101e-03	6.07225899867801e-05		1.41399190333995e+00
2.49000000000000e+00    	-1.76079385661300e+00 	 5.88685718834050e-01   -8.09002492885384e-01 	-9.98485948397858e-01	 2.74107454657935e-03	6.01096128511657e-05		1.41314603146696e+00
2.52000000000000e+00    	-1.78198495332699e+00 	 5.88697382336477e-01   -8.09001220853078e-01 	-9.97375995750289e-01	 -1.70350508993861e-03	5.99780295148913e-05		1.41236035855791e+00
2.55000000000000e+00    	-1.80316506229785e+00 	 5.88612344786086e-01   -8.08999924631578e-01 	-9.96457995289999e-01	 -6.28412848025907e-03	6.26886122589659e-05		1.41172519655136e+00
2.58000000000000e+00    	-1.82433662681421e+00 	 5.88432753401279e-01   -8.08998524479809e-01 	-9.95845577856540e-01	 -1.05161382548007e-02	6.98743914811108e-05		1.41131818134064e+00
2.61000000000000e+00    	-1.84550328112210e+00 	 5.88171159630832e-01   -8.08996921290858e-01 	-9.95629434692210e-01	 -1.39191167340319e-02	8.16285447943876e-05		1.41119513877401e+00
2.64000000000000e+00    	-1.86666960053390e+00 	 5.87849872450052e-01   -8.08995033354017e-01 	-9.95864491865368e-01	 -1.60700241612461e-02	9.62503252175000e-05		1.41138383903846e+00
2.67000000000000e+00    	-1.88784066618574e+00 	 5.87499169617266e-01   -8.08992830627152e-01 	-9.96559511333274e-01	 -1.66534973979476e-02	1.10741655327322e-04		1.41188108949306e+00
2.70000000000000e+00    	-1.90902147176739e+00 	 5.87154498035015e-01   -8.08990351068394e-01 	-9.97671215961162e-01	 -1.55034464396419e-02	1.21940459153235e-04		1.41265290389338e+00
2.73000000000000e+00    	-1.93021625042588e+00 	 5.86852924455714e-01   -8.08987689403599e-01 	-9.99104712964768e-01	 -1.26307649399953e-02	1.27879042896907e-04		1.41363707508131e+00
2.76000000000000e+00    	-1.95142783917233e+00 	 5.86629199356431e-01   -8.08984959596223e-01 	-1.00072108306947e+00	 -8.23327431074890e-03	1.28802443923312e-04		1.41474750026133e+00
2.79000000000000e+00    	-1.97265720818994e+00 	 5.86511856123937e-01   -8.08982243972924e-01 	-1.00235167605806e+00	 -2.68580477160782e-03	1.27359212095026e-04		1.41587997805748e+00
2.82000000000000e+00    	-1.99390325542680e+00 	 5.86519777652569e-01   -8.08979549339809e-01 	-1.00381726050768e+00	 3.48959908705716e-03	1.27778281771795e-04		1.41691964702386e+00
2.85000000000000e+00    	-2.01516290845457e+00 	 5.86659622681170e-01   -8.08976789793354e-01 	-1.00494913755277e+00	 9.67118347930673e-03	1.34263198643516e-04		1.41775044309094e+00
2.88000000000000e+00    	-2.03643150393238e+00 	 5.86924420732173e-01   -8.08973806736739e-01 	-1.00560897508232e+00	 1.51985003419546e-02	1.49199914186128e-04		1.41826669827624e+00
2.91000000000000e+00    	-2.05770335408938e+00 	 5.87293529139182e-01   -8.08970421945027e-01 	-1.00570455582873e+00	 1.94410770438251e-02	1.71924021164620e-04		1.41838627977331e+00
2.94000000000000e+00    	-2.07897237989996e+00 	 5.87734013661749e-01   -8.08966505043131e-01 	-1.00519969485409e+00	 2.18678164828103e-02	1.98641702182407e-04		1.41806370357294e+00
2.97000000000000e+00    	-2.10023270103367e+00 	 5.88203380390255e-01   -8.08962028520769e-01 	-1.00411789069063e+00	 2.21098307173475e-02	2.23678439620071e-04		1.41730082658954e+00
3.00000000000000e+00    	-2.12147911708861e+00 	 5.88653461056964e-01   -8.08957085444371e-01 	-1.00254038026482e+00	 2.00097426507070e-02	2.41687373084220e-04		1.41615241491700e+00
3.03000000000000e+00    	-2.14270747386925e+00 	 5.89035140089583e-01   -8.08951857650474e-01 	-1.00059981866948e+00	 1.56514636899459e-02	2.49996225332967e-04		1.41472436465028e+00
3.06000000000000e+00    	-2.16391495692211e+00 	 5.89303510023595e-01   -8.08946541564695e-01 	-9.98470681981945e-01	 9.36600548892230e-03	2.50106985737551e-04		1.41316364494343e+00
3.09000000000000e+00    	-2.18510036935594e+00 	 5.89422955977382e-01   -8.08941257816762e-01 	-9.96356867669502e-01	 1.71097919084659e-03	2.47594125739318e-04		1.41164088794028e+00
3.12000000000000e+00    	-2.20626442157462e+00 	 5.89371613327156e-01   -8.08935981446698e-01 	-9.94476265211778e-01	 -6.57595877352649e-03	2.50235316512769e-04		1.41032845391457e+00
3.15000000000000e+00    	-2.22740999555558e+00 	 5.89144638958219e-01   -8.08930525746320e-01 	-9.93041811481845e-01	 -1.46464786246768e-02	2.64954473816370e-04		1.40937810004559e+00
3.18000000000000e+00    	-2.24854227416779e+00 	 5.88755809924750e-01   -8.08924593880981e-01 	-9.92239119448669e-01	 -2.16275185435925e-02	2.94755537184415e-04		1.40890251848858e+00
3.21000000000000e+00    	-2.26966858615839e+00 	 5.88237124564925e-01   -8.08917884428183e-01 	-9.92202192694279e-01	 -2.67150127584018e-02	3.36983713130575e-04		1.40896380246337e+00
3.24000000000000e+00    	-2.29079784265397e+00 	 5.87636315283790e-01   -8.08910211296830e-01 	-9.92990549420199e-01	 -2.92651024198243e-02	3.83831761992151e-04		1.40956973037317e+00
3.27000000000000e+00    	-2.31193953857913e+00 	 5.87012450058216e-01   -8.08901587342926e-01 	-9.94572460702476e-01	 -2.88723497925490e-02	4.25126809534583e-04		1.41067649477232e+00
3.30000000000000e+00    	-2.33310243487830e+00 	 5.86430051609419e-01   -8.08892231310191e-01 	-9.96819136673778e-01	 -2.54256499584617e-02	4.52435411732341e-04		1.41219512094210e+00
3.33000000000000e+00    	-2.35429317086571e+00 	 5.85952357160630e-01   -8.08882487097717e-01 	-9.99513156803832e-01	 -1.91347900720761e-02	4.62849663359495e-04		1.41399890560243e+00
3.36000000000000e+00    	-2.37551512275309e+00 	 5.85634453526631e-01   -8.08872681354639e-01 	-1.00237148512160e+00	 -1.05235928470550e-02	4.60795757601238e-04		1.41593063125424e+00
3.39000000000000e+00    	-2.39676778944110e+00 	 5.85517043963889e-01   -8.08862974271287e-01 	-1.00507990895080e+00	 -3.89005606050917e-04	4.56903166663091e-04		1.41781027766850e+00
3.42000000000000e+00    	-2.41804685473727e+00 	 5.85621536657449e-01   -8.08853266009120e-01 	-1.00733286223701e+00	 1.02708887692242e-02	4.64141825888454e-04		1.41944538532709e+00
3.45000000000000e+00    	-2.43934489046815e+00 	 5.85946999639559e-01   -8.08843202833816e-01 	-1.00887135144684e+00	 2.03534768549557e-02	4.92610309998839e-04		1.42064630026449e+00
3.48000000000000e+00    	-2.46065249373592e+00 	 5.86469324054641e-01   -8.08832288881919e-01 	-1.00951252953596e+00	 2.87634644338604e-02	5.45042556338663e-04		1.42124705144733e+00
3.51000000000000e+00    	-2.48195955524228e+00 	 5.87142709885691e-01   -8.08820066300516e-01 	-1.00916704054736e+00	 3.45287296343120e-02	6.14975962925317e-04		1.42113008802597e+00
3.54000000000000e+00    	-2.50325636640954e+00 	 5.87903372281879e-01   -8.08806295475700e-01 	-1.00784363303540e+00	 3.69083659252257e-02	6.88589855560793e-04		1.42025050265130e+00
3.57000000000000e+00    	-2.52453438278334e+00 	 5.88675187194153e-01   -8.08791061134229e-01 	-1.00564351103705e+00	 3.54817462744653e-02	7.49804661959756e-04		1.41865372371719e+00
3.60000000000000e+00    	-2.54578662614580e+00 	 5.89376852352299e-01   -8.08774753168240e-01 	-1.00274844994452e+00	 3.02089676985267e-02	7.86854824866412e-04		1.41648072868503e+00
3.63000000000000e+00    	-2.56700786451026e+00 	 5.89930011939690e-01   -8.08757916702811e-01 	-9.99406384916344e-01	 2.14551321217597e-02	7.97754021394696e-04		1.41395688806887e+00
3.66000000000000e+00    	-2.58819479437344e+00 	 5.90267657069716e-01   -8.08741019176147e-01 	-9.95916212783842e-01	 9.97354739083379e-03	7.92233995068546e-04		1.41136430526210e+00
3.69000000000000e+00    	-2.60934641986931e+00 	 5.90341971941215e-01   -8.08724223102579e-01 	-9.92610839456898e-01	 -3.15365389692051e-03	7.88922204427201e-04		1.40900207471049e+00
3.72000000000000e+00    	-2.63046467487178e+00 	 5.90130693084914e-01   -8.08707262743351e-01 	-9.89835414446107e-01	 -1.66145413446030e-02	8.08398732136586e-04		1.40714279452524e+00
3.75000000000000e+00    	-2.65155511615473e+00 	 5.89641063323527e-01   -8.08689491092464e-01 	-9.87917574947487e-01	 -2.89978981840094e-02	8.64644631801764e-04		1.40599529181273e+00
3.78000000000000e+00    	-2.67262732615305e+00 	 5.88910657921624e-01   -8.08670097104453e-01 	-9.87129043798794e-01	 -3.89420047598644e-02	9.58415216581307e-04		1.40568173759410e+00
3.81000000000000e+00    	-2.69369461203327e+00 	 5.88004740595873e-01   -8.08648417180911e-01 	-9.87642490063958e-01	 -4.52849906756205e-02	1.07563138380094e-03		1.40623240452747e+00
3.84000000000000e+00    	-2.71477273585027e+00 	 5.87010294211136e-01   -8.08624214393798e-01 	-9.89492281439477e-01	 -4.71991870211546e-02	1.19198557501918e-03		1.40759516875889e+00
3.87000000000000e+00    	-2.73587772742092e+00 	 5.86027343331366e-01   -8.08597800840479e-01 	-9.92550238299085e-01	 -4.42937744283421e-02	1.28233285431826e-03		1.40965228279112e+00
3.90000000000000e+00    	-2.75702319535501e+00 	 5.85158541528208e-01   -8.08569936815441e-01 	-9.96526056179065e-01	 -3.66737974510456e-02	1.33122870013057e-03		1.41223614180955e+00
3.93000000000000e+00    	-2.77821780493162e+00 	 5.84498194209262e-01   -8.08541532394845e-01 	-1.00099664851550e+00	 -2.49482599159849e-02	1.34020485262290e-03		1.41513903986893e+00
3.96000000000000e+00    	-2.79946361598824e+00 	 5.84121935555188e-01   -8.08513263426467e-01 	-1.00546096474141e+00	 -1.01849708890443e-02	1.32846075012985e-03		1.41811750220449e+00
3.99000000000000e+00    	-2.82075574528278e+00 	 5.84078193364242e-01   -8.08485256943368e-01 	-1.00940959685672e+00	 6.18493992688142e-03	1.32621728018013e-03		1.42089681066593e+00
4.02000000000000e+00    	-2.84208341650396e+00 	 5.84382364667739e-01   -8.08456980600240e-01 	-1.01239437537933e+00	 2.25044219336283e-02	1.36301255481224e-03		1.42318329041255e+00
4.05000000000000e+00    	-2.86343203923401e+00 	 5.85014301119472e-01   -8.08427393413996e-01 	-1.01408370343956e+00	 3.70562942639589e-02	1.45545964383693e-03		1.42468980655055e+00
4.08000000000000e+00    	-2.88478567474377e+00 	 5.85919315681142e-01   -8.08395311522639e-01 	-1.01429432681080e+00	 4.82403238887967e-02	1.59946828179293e-03		1.42517460984549e+00
4.11000000000000e+00    	-2.90612920087132e+00 	 5.87012556096344e-01   -8.08359854254459e-01 	-1.01299765376293e+00	 5.47433687540837e-02	1.77040594557541e-03		1.42448735244963e+00
4.14000000000000e+00    	-2.92744968386658e+00 	 5.88186325196690e-01   -8.08320796945099e-01 	-1.01030586673831e+00	 5.56857030991030e-02	1.93169986538705e-03		1.42261118137032e+00
4.17000000000000e+00    	-2.94873681928977e+00 	 5.89319783533744e-01   -8.08278682429573e-01 	-1.00644745881079e+00	 5.07294544058435e-02	2.04906461195485e-03		1.41968805149469e+00
4.20000000000000e+00    	-2.96998268827654e+00 	 5.90290387650844e-01   -8.08234625584754e-01 	-1.00174214411558e+00	 4.01381185672762e-02	2.10508483625618e-03		1.41601653353397e+00
4.23000000000000e+00    	-2.99118135604494e+00 	 5.90986294528030e-01   -8.08189859857102e-01 	-9.96581363845551e-01	 2.47788511790256e-02	2.10822580603895e-03		1.41201729835228e+00
4.26000000000000e+00    	-3.01232890499966e+00 	 5.91318727415259e-01   -8.08145184820323e-01 	-9.91414173189019e-01	 6.06234888875973e-03	2.09192611007736e-03		1.40817015698706e+00
4.29000000000000e+00    	-3.03342428366989e+00 	 5.91232985719079e-01   -8.08100536923963e-01 	-9.86731646765065e-01	 -1.41799040335126e-02	2.10300676092996e-03		1.40493588289414e+00
